vacancy_id,date_posted,profession,experience_level,region,work_format,company_size,key_skills,salary_from_rub,salary_to_rub,currency
101715,2024-01-01,Frontend Developer,Senior,Удалённо (Россия),Удалённо,Малая (50-250),"CSS, Git, JavaScript, React, TypeScript",120000,149000,RUB
101858,2024-01-01,DevOps Engineer,Lead,Санкт-Петербург,Офис,Средняя (250-1000),"CI/CD, Docker, Git, Kubernetes, Terraform",164000,217000,RUB
104935,2024-01-01,Frontend Developer,Middle,Новосибирск,Удалённо,Стартап (<50),"CSS, Git, JavaScript, React, TypeScript",55000,71000,RUB
101747,2024-01-01,System Analyst,Middle,Новосибирск,Удалённо,Стартап (<50),"BPMN, Confluence, Git, Jira",58000,77000,RUB
105518,2024-01-01,ML Engineer,Middle,Казань,Удалённо,Средняя (250-1000),"Git, Kubernetes, MLflow, PyTorch, Python, TensorFlow",69000,82000,RUB
104165,2024-01-01,DevOps Engineer,Junior,Удалённо (Россия),Удалённо,Средняя (250-1000),"AWS, Git, Kubernetes, Linux",50000,63000,RUB
101088,2024-01-02,DevOps Engineer,Senior,Удалённо (Россия),Гибрид,Стартап (<50),"CI/CD, Git, Terraform",127000,157000,RUB
104263,2024-01-02,Data Scientist,Senior,Москва,Офис,Стартап (<50),"Docker, Git, Pandas, PyTorch, SQL, Scikit-learn",172000,231000,RUB
103125,2024-01-02,ML Engineer,Senior,Москва,Офис,Крупная (1000+),"Docker, Git, MLflow, Python, TensorFlow",231000,297000,RUB
101798,2024-01-02,Data Scientist,Middle,Санкт-Петербург,Гибрид,Средняя (250-1000),"Docker, Pandas, PyTorch, Python, Scikit-learn",82000,96000,RUB
100206,2024-01-03,Frontend Developer,Middle,Москва,Удалённо,Средняя (250-1000),"CSS, Git, HTML, JavaScript, React, TypeScript",72000,90000,RUB
101989,2024-01-03,Backend Developer,Middle,Санкт-Петербург,Гибрид,Крупная (1000+),"Docker, Java, SQL",95000,123000,RUB
102078,2024-01-03,Frontend Developer,Middle,Москва,Гибрид,Малая (50-250),"CSS, Git, HTML, JavaScript, React, TypeScript",79000,96000,RUB
104783,2024-01-03,Backend Developer,Lead,Удалённо (Россия),Удалённо,Крупная (1000+),"Java, PostgreSQL, REST API",223000,286000,RUB
104670,2024-01-04,Full-stack Developer,Lead,Казань,Удалённо,Стартап (<50),"Docker, Git, JavaScript, Node.js, React, SQL",110000,128000,RUB
105484,2024-01-04,Mobile Developer,Junior,Удалённо (Россия),Удалённо,Малая (50-250),"Git, REST API, SQL, Swift",47000,57000,RUB
